Month,CountyFIPS,CountyName,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-11-01 00:00:00,39035,"Cuyahoga, OH",26,,154950.000000,-0.0171,0.1072,5048.0,-0.0349,-0.0112,65.50,0.0077,-0.1027,1312.0,-0.1391,0.1025,32.0,-0.1579,-0.2727,1136.0,-0.1989,0.1452,1109.5,-0.0452,-0.0285,248911.0000,0.0027,0.0764,6157.5,-0.0368,-0.0143,0.2198,-0.0024,-0.0039
2018-11-01 00:00:00,06067,"Sacramento, CA",27,*,385050.000000,-0.0112,0.0297,3403.0,-0.0567,0.2712,44.00,0.1000,0.1282,1532.0,-0.1987,-0.0647,4.0,-0.6000,1.0000,36.0,-0.4545,0.5000,1847.5,-0.0829,-0.2093,461279.0000,-0.0409,0.0329,5250.5,-0.0661,0.0473,0.5429,-0.0155,-0.3299
2018-11-01 00:00:00,12057,"Hillsborough, FL",28,,279772.500000,-0.0008,0.0167,6301.5,0.0396,0.2468,57.00,0.0179,-0.1298,2270.0,-0.0105,0.2126,260.0,0.1712,-0.0511,2484.0,-0.0320,0.3648,3570.0,-0.0520,0.0382,389602.0000,-0.0166,-0.0128,9871.5,0.0045,0.1624,0.5665,-0.0548,-0.1138
2018-11-01 00:00:00,39049,"Franklin, OH",29,,224950.000000,-0.0004,0.1003,4241.5,-0.0536,0.0419,45.00,0.0909,-0.0323,1348.0,-0.1381,0.1385,68.0,0.0000,-0.1282,1258.0,-0.1557,0.4009,3.0,0.0000,-0.9259,297464.0000,-0.0125,0.0315,4244.5,-0.0535,0.0323,0.0007,0.0000,-0.0092
2018-11-01 00:00:00,36005,"Bronx, NY",30,,425050.000000,-0.0006,0.1972,1191.5,-0.0258,0.0700,82.50,0.0543,-0.0120,228.0,-0.1679,-0.0579,18.0,-0.1000,-0.2500,160.0,-0.2727,0.3793,227.0,0.0733,0.0342,535945.0000,-0.0077,0.0246,1418.5,-0.0112,0.0641,0.1905,0.0176,-0.0066
2018-11-01 00:00:00,27053,"Hennepin, MN",31,,380077.500000,0.0015,0.0202,3681.0,-0.0951,0.1006,49.00,0.2727,-0.0101,1192.0,-0.3102,0.0662,22.0,-0.3889,-0.3889,1162.0,-0.2345,0.4897,1717.5,-0.1397,-0.1024,558779.0000,-0.0128,0.0059,5398.5,-0.1098,0.0267,0.4666,-0.0242,-0.1055
2018-11-01 00:00:00,26125,"Oakland, MI",32,,337500.000000,-0.0334,-0.0343,4973.5,-0.0479,0.1562,47.00,0.0217,-0.1132,1978.0,-0.1710,0.2061,56.0,-0.2222,-0.3000,1570.0,-0.1268,0.3918,127.0,-0.0268,15.9333,477897.0000,-0.0149,-0.0470,5100.5,-0.0473,0.1837,0.0255,0.0006,0.0238
2018-11-01 00:00:00,36103,"Suffolk, NY",33,,597050.000000,0.0034,0.0874,9880.0,-0.0476,0.0917,89.50,0.0468,-0.1095,2008.0,-0.1448,0.1143,90.0,0.0000,-0.1000,1430.0,-0.2410,0.2633,650.0,0.0196,0.4673,1489679.0000,0.0143,-0.0254,10530.0,-0.0437,0.1092,0.0658,0.0043,0.0168
2018-11-01 00:00:00,12095,"Orange, FL",34,,326050.000000,-0.0091,0.0044,5068.5,0.0107,0.1108,61.00,0.0252,-0.1921,1734.0,-0.0747,0.1059,130.0,0.1207,-0.1558,1840.0,-0.1280,0.3529,2456.5,-0.0372,-0.0868,499378.0000,-0.0269,-0.0012,7525.0,-0.0055,0.0375,0.4847,-0.0241,-0.1049
2018-11-01 00:00:00,48453,"Travis, TX",35,,407447.250000,-0.0300,-0.0300,4157.0,-0.0461,0.0293,60.00,0.0084,-0.1176,1314.0,-0.0837,0.0218,202.0,-0.0288,0.4429,1426.0,-0.1795,0.1943,1286.0,0.0126,-0.0627,688623.0000,-0.0280,-0.0337,5443.0,-0.0329,0.0060,0.3094,0.0179,-0.0304
2018-11-01 00:00:00,36059,"Nassau, NY",36,,647050.000000,-0.0031,0.0801,5795.5,-0.0410,0.1379,75.50,-0.0131,-0.0195,1528.0,-0.0205,0.0961,68.0,-0.0811,-0.0286,1140.0,-0.1763,0.4250,347.0,0.0131,-0.0519,1029389.0000,0.0030,0.0243,6142.5,-0.0381,0.1252,0.0599,0.0032,-0.0120
2018-11-01 00:00:00,12103,"Pinellas, FL",37,,295000.000000,-0.0002,-0.0135,5476.0,0.0715,0.1047,60.00,-0.0698,-0.1241,2072.0,0.0736,0.1033,94.0,-0.2295,0.0217,2160.0,0.0266,0.3155,2358.0,-0.0387,-0.1173,461758.0000,-0.0106,-0.0395,7834.0,0.0358,0.0269,0.4306,-0.0494,-0.1083
2018-11-01 00:00:00,13121,"Fulton, GA",38,,415050.000000,-0.0138,-0.0235,9682.5,0.0043,0.1734,53.00,0.0192,-0.1092,3186.0,-0.1262,0.1774,174.0,-0.4000,-0.4423,2718.0,-0.0885,0.3981,3749.5,-0.0486,0.8118,612526.0000,-0.0053,-0.0195,13432.0,-0.0110,0.3014,0.3872,-0.0215,0.1364
2018-11-01 00:00:00,51059,"Fairfax, VA",39,,600000.000000,-0.0001,0.0179,3537.0,-0.1330,-0.1024,49.50,0.1379,-0.1161,972.0,-0.3007,-0.0545,42.0,-0.2222,-0.2222,696.0,-0.3948,-0.0279,1.0,0.0000,0.0000,825890.0000,0.0252,0.0461,3538.0,-0.1329,-0.1024,0.0003,0.0000,0.0000
2018-11-01 00:00:00,37119,"Mecklenburg, NC",40,,352997.000000,-0.0192,-0.0477,3482.0,-0.0252,0.1854,54.00,0.0093,-0.0809,1334.0,-0.0999,0.1402,174.0,0.1299,-0.1122,1372.0,-0.0472,0.6141,1671.0,-0.0274,-0.0675,496708.0000,-0.0058,-0.0257,5153.0,-0.0259,0.0895,0.4799,-0.0011,-0.1301
2018-11-01 00:00:00,29189,"St. Louis, MO",41,,224950.000000,-0.0167,0.0561,4202.5,-0.0516,-0.0356,55.00,0.0577,0.0092,1136.0,-0.1989,-0.1368,24.0,-0.0769,-0.2941,1172.0,-0.2458,-0.0118,956.0,-0.0869,-0.0718,364576.0000,-0.0203,0.0344,5158.5,-0.0583,-0.0425,0.2275,-0.0088,-0.0089
2018-11-01 00:00:00,06013,"Contra Costa, CA",42,*,637760.000000,-0.0189,0.0272,2118.0,-0.0447,0.5102,39.50,0.1127,0.0676,1004.0,-0.2563,0.0308,46.0,-0.1154,0.4375,674.0,-0.2444,1.3732,1265.5,-0.0843,-0.1782,1198474.0000,0.2815,0.2268,3383.5,-0.0599,0.1499,0.5975,-0.0259,-0.5005
2018-11-01 00:00:00,04019,"Pima, AZ",43,,280000.000000,0.0034,0.0685,3614.0,0.0366,-0.0923,53.00,0.0192,-0.0185,1428.0,-0.0219,-0.0654,62.0,-0.2791,0.0690,1072.0,-0.0759,0.0635,1879.5,-0.0364,-0.0416,387743.0000,-0.0052,0.0345,5493.5,0.0104,-0.0756,0.5201,-0.0394,0.0275
2018-11-01 00:00:00,37183,"Wake, NC",44,,370000.000000,-0.0135,0.0292,5295.0,-0.0206,0.0191,65.50,0.0234,0.0738,1478.0,-0.0820,0.0997,168.0,-0.0455,-0.0667,1588.0,-0.0364,0.2368,6.5,0.0833,0.1818,446939.0000,-0.0050,0.0496,5301.5,-0.0205,0.0192,0.0012,0.0001,0.0002
2018-11-01 00:00:00,36029,"Erie, NY",45,,199950.000000,0.0000,0.1265,1760.0,-0.0881,-0.0168,59.00,0.0926,-0.0248,570.0,-0.2559,-0.0836,12.0,-0.1429,-0.5714,500.0,-0.2669,0.0638,14.5,-0.1714,0.7059,265262.0000,-0.0097,0.0756,1774.5,-0.0888,-0.0133,0.0082,-0.0008,0.0035
2018-11-01 00:00:00,55079,"Milwaukee, WI",46,,160000.000000,-0.0300,0.0674,2383.5,-0.0729,-0.1554,47.50,0.0920,-0.1667,660.0,-0.2272,0.0030,14.0,0.4000,0.1667,626.0,-0.2738,-0.0310,1.0,,,212701.0000,-0.0216,0.0623,2384.5,-0.0725,-0.1550,0.0004,0.0004,0.0004
2018-11-01 00:00:00,24031,"Montgomery, MD",47,,499050.000000,-0.0019,-0.0243,3067.0,-0.0786,-0.0447,51.50,0.1444,-0.1121,918.0,-0.2585,-0.0316,50.0,-0.0385,-0.3590,726.0,-0.2374,0.1204,0.0,,,717966.0000,-0.0165,-0.0391,3067.0,-0.0786,-0.0447,0.0000,0.0000,0.0000
2018-11-01 00:00:00,18097,"Marion, IN",48,,186525.000000,0.0026,0.1582,2750.5,-0.0240,-0.0741,53.50,0.0388,-0.0655,1062.0,-0.1918,0.0926,26.0,-0.0714,-0.2778,1200.0,-0.1004,0.4963,806.5,-0.0725,-0.2972,257120.0000,-0.0030,0.0965,3557.0,-0.0354,-0.1362,0.2932,-0.0153,-0.0931
2018-11-01 00:00:00,06075,"San Francisco, CA",49,*,1299550.000000,-0.0374,0.0293,1031.5,-0.0618,0.3024,39.00,0.3000,0.0263,352.0,-0.4448,0.0233,36.0,-0.1000,1.5714,182.0,-0.2353,1.3333,360.5,-0.1021,-0.1447,1892588.0000,0.0001,-0.0076,1392.0,-0.0726,0.1471,0.3495,-0.0157,-0.1827
2018-11-01 00:00:00,49035,"Salt Lake, UT",50,,398134.500000,0.0028,0.0738,3271.0,-0.0487,0.0828,40.75,0.1643,-0.0523,1390.0,-0.1852,0.1210,116.0,0.0545,-0.2368,1318.0,-0.2274,0.2697,2141.0,-0.0455,-0.0903,544830.0000,0.0062,0.1020,5412.0,-0.0474,0.0070,0.6545,0.0022,-0.1245
2018-11-01 00:00:00,12031,"Duval, FL",51,,234950.000000,-0.0182,-0.0172,4500.5,-0.0007,0.2644,59.00,-0.0084,-0.0328,1364.0,-0.1026,0.1718,108.0,-0.0526,0.2558,1584.0,-0.0693,0.6000,1811.5,-0.0282,-0.0641,322752.0000,-0.0057,-0.0174,6312.0,-0.0087,0.1487,0.4025,-0.0114,-0.1412
2018-11-01 00:00:00,36119,"Westchester, NY",52,,679050.000000,-0.0145,0.0795,3938.5,-0.0709,0.0452,74.00,0.0000,-0.0920,768.0,-0.2017,0.0608,18.0,-0.3077,-0.4375,624.0,-0.3158,0.1908,36.5,0.0282,-0.2151,1049876.0000,-0.0095,-0.0186,3975.0,-0.0701,0.0421,0.0093,0.0009,-0.0031
